name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X0352;2;7;WD;0.925719416;0.729904126;1.894523849;1.441708907;0.768802582;0.370063687
X0352;7;29;WW;2.069981794;0.910751883;2.428290424;3.491170351;0.659529669;0.288221629
X0352;8;29;WD;1.533840694;0.672005075;1.753903303;2.53581968;0.542798738;0.234759369
X0380;1;8;WW;5.262300496;1.387580139;2.573370705;3.334453148;0.938793535;0.474816811
X0380;2;8;WD;2.894986832;1.759275126;2.098549858;2.990900926;0.803030804;0.530548867
X0380;7;59;WW;3.771521855;1.380822768;2.630883662;3.141181376;0.909528064;0.49738318
X0380;8;59;WD;2.787701073;1.268944499;2.301583735;2.62922302;0.857812119;0.58417541
X0395;1;9;WW;1.648154029;0.554157647;2.274075921;2.462996904;0.71320787;0.486239861
X0395;2;9;WD;3.637775561;1.498497986;2.751500666;2.869820406;0.971190176;0.578614772
X0395;9;64;WW;1.462429893;0.972428432;1.827293526;1.664156721;0.766318698;0.5810108
X0395;10;64;WD;1.051120544;0.599970294;1.768388721;1.956395812;0.580512151;0.34804427
X0404;2;10;WD;5.775594469;2.130815327;2.674042254;5.15907259;0.84920988;0.404720078
X0404;7;41;WW;4.505485837;1.385474524;2.581804213;5.377989742;0.766687926;0.583666771
X0404;8;41;WD;2.215187625;0.875751895;2.39711861;2.925538756;0.796227887;0.479886025
X0421;1;11;WW;2.366135922;1.04311314;2.197599737;1.85762971;1.016397757;0.586735519
X0421;2;11;WD;4.0401062;1.73162137;2.625140753;4.347288796;0.767572092;0.334962679
X0421;9;24;WW;2.327533147;1.25037151;1.654988004;2.031695995;0.776257747;0.474079325
X0421;10;24;WD;3.099764772;1.455747442;2.058188607;4.090528457;0.646492281;0.565155827
X0468;1;12;WW;3.210334644;2.205765807;2.25708833;2.877935189;0.785389634;0.619309595
X0468;2;12;WD;4.309987538;1.347761689;2.239984122;3.640619363;0.816658193;0.532542536
X0468;7;82;WW;4.627893336;1.583584213;1.882296326;3.684720728;0.828500476;0.45735577
X0468;8;82;WD;2.515978904;0.825729824;1.925851213;2.565094606;0.751842318;0.382828622
X0522;1;13;WW;2.73249264;1.034441832;1.868332519;3.826706396;0.510849641;0.258039917
X0522;2;13;WD;2.247384648;0.91586309;1.7740989;3.020385836;0.579113998;0.80619012
X0522;7;65;WW;2.963813055;1.266106104;2.032534404;3.079077188;0.807411036;0.466463145
X0522;8;65;WD;2.443889691;1.207109562;1.573078885;3.606499089;0.614674304;0.430575674
X0585;1;14;WW;2.428695498;1.161111557;1.477099433;2.950909737;0.610762844;0.888648907
X0585;2;14;WD;3.194397394;2.061188507;1.844770437;4.992351108;0.584403616;0.417231621
X0585;5;72;WW;3.373411728;1.04328898;2.029788726;3.837952245;0.599916144;0.237813905
X0585;6;72;WD;1.596643184;0.763546476;1.738539805;1.427315906;0.760339272;0.578455765
X0591;1;15;WW;4.488416906;1.408327208;2.46705888;4.453276626;0.816971748;0.389526697
X0591;7;67;WW;3.228220527;1.154059055;2.700373971;2.265062469;1.096919264;0.714942618
X0591;8;67;WD;4.262637896;1.686674451;2.834087281;3.526014654;0.930171642;0.320653748
X0599;1;16;WW;2.080053444;1.23925031;2.557767391;3.066415732;0.748640828;0.361353331
X0599;7;53;WW;3.223208915;1.668528427;2.864086987;2.497164455;0.98617027;0.69204893
X0599;8;53;WD;1.726282568;0.934802972;2.133414885;3.167560594;0.607473711;0.191700304
X0600;2;17;WD;3.521946117;0.880204125;2.426860997;5.286838678;0.617150822;0.356557205
X0600;5;92;WW;3.819987318;1.076431724;2.795589028;3.664671818;0.844038045;0.469423623
X0600;6;92;WD;2.999718576;0.880131717;2.293337933;4.997800203;0.550226861;0.561302984
X0640;1;18;WW;4.694156936;2.087521283;2.230546066;2.965516873;0.956518754;0.401953182
X0640;5;79;WW;4.61535624;2.005463851;2.37879847;1.863569123;1.217626886;0.45297375
X0640;6;79;WD;2.952132158;1.310560895;2.495131091;1.625526278;1.044502104;0.275247677
X0666;1;19;WW;2.509646478;0.984371271;2.350014212;3.733068818;0.651561998;0.473577307
X0666;2;19;WD;2.828896875;1.10420114;2.175239994;3.932568735;0.636995524;0.47179889
X0666;9;75;WW;3.266831178;1.113250664;2.199206703;4.089827321;0.727291209;0.696998594
X0666;10;75;WD;1.258215067;0.7346656;1.664908084;1.833752132;0.73138178;0.266106822
X0667;1;20;WW;1.85284974;0.6956605;2.956545365;3.37694542;0.771291889;0.336943807
X0667;2;20;WD;1.47217035;0.380673385;2.966027879;3.734603249;0.66978579;0.136506262
X0667;9;78;WW;2.195315145;0.747126601;2.465934292;4.553023424;0.585415281;0.241148061
X0667;10;78;WD;2.489471886;0.741995269;2.525395442;4.803748438;0.563685888;0.278970854
X0695;1;21;WW;6.468078006;1.923856614;2.288035519;7.080455908;0.663216583;0.491665488
X0695;2;21;WD;2.721409493;1.038125022;1.778615669;3.747437707;0.636571804;0.343058284
X0695;7;48;WW;2.962315678;1.151732265;2.454586848;2.754922584;0.759938892;0.638004754
X0695;8;48;WD;3.540759488;1.46322472;1.963860915;3.935954891;0.588456074;0.689692093
X0700;1;22;WW;2.3226245;1.291563535;2.516774945;1.237055914;1.038911477;0.433497327
X0700;2;22;WD;1.207228491;0.569654634;2.238824452;1.425317567;0.808005559;0.354248854
X0700;7;12;WW;4.53935054;1.457241857;3.09767967;3.73962508;0.8885652;0.703478505
X0700;8;12;WD;2.017475803;0.829248887;3.339116566;2.462919023;0.987788437;0.230133766
X0710;1;23;WW;2.65659101;0.771931464;2.46840811;3.635583474;0.70712625;0.662000111
X0710;2;23;WD;3.368007048;1.307454728;2.953762621;3.891449618;0.789330375;0.339677665
X0710;9;35;WW;3.518794431;1.214497876;2.510263769;6.073625444;0.597817364;0.24394434
X0710;10;35;WD;3.642552192;1.546943419;2.279432694;3.97337918;0.772281061;0.503326211
X0778;1;24;WW;2.226835911;0.672102606;2.250375694;3.786118219;0.628081814;0.419062414
X0778;2;24;WD;3.261814231;1.437572154;2.196309172;4.747793819;0.557830195;0.372220787
X0778;9;77;WW;2.020455852;0.782403822;2.130240561;4.519434704;0.518039665;0.306567732
X0778;10;77;WD;1.991677314;0.78522499;1.784226708;3.833725794;0.484335263;0.386991223
X0849;1;25;WW;3.867998213;1.623523752;1.922436773;5.388372207;0.649778583;0.318835427
X0849;2;25;WD;3.686498876;1.282689964;2.173362645;6.872632912;0.541571512;0.461438835
X0849;5;71;WW;5.234231113;2.002078236;2.076061153;5.920113064;0.695136087;0.5651682
X0898;5;48;WW;5.563191786;2.265176814;2.284349385;5.297752994;0.673260047;0.685109517
X0898;5;74;WW;8.031415334;2.769023097;2.308611405;4.712019268;0.877879799;0.791901399
X0898;6;48;WD;3.636314085;1.395203657;1.871334474;3.599989949;0.665606617;0.443133508
X0898;6;74;WD;4.874094822;2.019804503;1.821981901;3.231945718;0.974202602;0.940048563
X0942;1;26;WW;4.334578158;1.302994991;2.31165598;6.044457388;0.633353298;0.428905138
X0942;2;26;WD;4.612243459;1.04927308;2.578399231;7.888345627;0.546896213;0.297555506
X0942;5;50;WW;3.310001126;0.99209997;2.305979087;4.945197102;0.630764452;0.81192652
X0942;6;50;WD;2.278048087;1.01020612;2.125801543;3.375990386;0.639704974;0.19780022
X0960;1;27;WW;2.568081683;0.912029813;2.740782688;2.102349546;0.997017157;0.187127574
X0960;2;27;WD;2.368032169;1.136543781;2.865274353;2.200672642;1.024972993;0.353515698
X0960;5;96;WW;2.261698611;1.630554877;2.594760145;1.823253911;1.017064667;0.351466073
X0960;6;96;WD;1.911279885;0.898848201;2.431442865;1.424239759;1.138828672;0.306159124
X0968;1;28;WW;4.550642493;1.115238256;2.479230271;5.852523761;0.572725516;0.268054033
